CSW Acceptance Testing Report for run starting Wed Jan 16 16:28:48 PST 2019
Class,Test Name,Result
csw.params.core.generics.KeyParameterTest,test charItem should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test charItem should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test ByteItem should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test ByteItem should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test ByteItem should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test ByteArrayKey should test single item,PASSED
csw.params.core.generics.KeyParameterTest,test ByteArrayKey should test with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test ByteArrayKey should test with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test ByteArrayKey should test using one array with and without units,PASSED
csw.params.core.generics.KeyParameterTest,test ByteArrayKey should test using var args,PASSED
csw.params.core.generics.KeyParameterTest,test byteMatrixKey should work with a single item,PASSED
csw.params.core.generics.KeyParameterTest,test byteMatrixKey should work with list and withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test byteMatrixKey should work with list and units,PASSED
csw.params.core.generics.KeyParameterTest,test byteMatrixKey work with one matrix without and with units,PASSED
csw.params.core.generics.KeyParameterTest,test byteMatrixKey work with varargs,PASSED
csw.params.core.generics.KeyParameterTest,test byteMatrixKey work with varargs as arrays,PASSED
csw.params.core.generics.KeyParameterTest,test ShortItem should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test ShortItem should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test ShortItem should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test shortArrayKey should test single item,PASSED
csw.params.core.generics.KeyParameterTest,test shortArrayKey should test with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test shortArrayKey should test with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test shortArrayKey should test using one array with and without units,PASSED
csw.params.core.generics.KeyParameterTest,test shortArrayKey should test using var args,PASSED
csw.params.core.generics.KeyParameterTest,test shortMatrixKey should work with a single item,PASSED
csw.params.core.generics.KeyParameterTest,test shortMatrixKey should work with list and withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test shortMatrixKey should work with list and units,PASSED
csw.params.core.generics.KeyParameterTest,test shortMatrixKey work with one matrix without and with units,PASSED
csw.params.core.generics.KeyParameterTest,test shortMatrixKey work with varargs,PASSED
csw.params.core.generics.KeyParameterTest,test shortMatrixKey work with varargs as arrays,PASSED
csw.params.core.generics.KeyParameterTest,test IntItem should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test IntItem should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test IntItem should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test intArrayKey should test single item,PASSED
csw.params.core.generics.KeyParameterTest,test intArrayKey should test with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test intArrayKey should test with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test intArrayKey should test using one array with and without units,PASSED
csw.params.core.generics.KeyParameterTest,test intArrayKey should test using var args,PASSED
csw.params.core.generics.KeyParameterTest,test intMatrixKey should work with a single item,PASSED
csw.params.core.generics.KeyParameterTest,test intMatrixKey should work with list and withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test intMatrixKey should work with list and units,PASSED
csw.params.core.generics.KeyParameterTest,test intMatrixKey work with one matrix without and with units,PASSED
csw.params.core.generics.KeyParameterTest,test intMatrixKey work with varargs,PASSED
csw.params.core.generics.KeyParameterTest,test intMatrixKey work with varargs as arrays,PASSED
csw.params.core.generics.KeyParameterTest,test longKey should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test longKey should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test longKey should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test LongArrayKey should test single item,PASSED
csw.params.core.generics.KeyParameterTest,test LongArrayKey should test with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test LongArrayKey should test with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test LongArrayKey should test using one array with and without units,PASSED
csw.params.core.generics.KeyParameterTest,test LongArrayKey should test using var args,PASSED
csw.params.core.generics.KeyParameterTest,test longMatrixKey should work with a single item,PASSED
csw.params.core.generics.KeyParameterTest,test longMatrixKey should work with list and withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test longMatrixKey should work with list and units,PASSED
csw.params.core.generics.KeyParameterTest,test longMatrixKey work with one matrix without and with units,PASSED
csw.params.core.generics.KeyParameterTest,test longMatrixKey work with varargs,PASSED
csw.params.core.generics.KeyParameterTest,test longMatrixKey work with varargs as arrays,PASSED
csw.params.core.generics.KeyParameterTest,test floatItem should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test floatItem should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test floatItem should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test floatArrayKey should test single item,PASSED
csw.params.core.generics.KeyParameterTest,test floatArrayKey should test with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test floatArrayKey should test with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test floatArrayKey should test using one array with and without units,PASSED
csw.params.core.generics.KeyParameterTest,test floatArrayKey should test using var args,PASSED
csw.params.core.generics.KeyParameterTest,test floatMatrixKey should work with a single item,PASSED
csw.params.core.generics.KeyParameterTest,test floatMatrixKey should work with list and withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test floatMatrixKey should work with list and units,PASSED
csw.params.core.generics.KeyParameterTest,test floatMatrixKey work with one matrix without and with units,PASSED
csw.params.core.generics.KeyParameterTest,test floatMatrixKey work with varargs,PASSED
csw.params.core.generics.KeyParameterTest,test floatMatrixKey work with varargs as arrays,PASSED
csw.params.core.generics.KeyParameterTest,test doubleItem should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test doubleItem should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test doubleItem should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test doubleArrayKey should test single item,PASSED
csw.params.core.generics.KeyParameterTest,test doubleArrayKey should test with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test doubleArrayKey should test with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test doubleArrayKey should test using one array with and without units,PASSED
csw.params.core.generics.KeyParameterTest,test doubleArrayKey should test using var args,PASSED
csw.params.core.generics.KeyParameterTest,test doubleMatrixKey should work with a single item,PASSED
csw.params.core.generics.KeyParameterTest,test doubleMatrixKey should work with list and withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test doubleMatrixKey should work with list and units,PASSED
csw.params.core.generics.KeyParameterTest,test doubleMatrixKey work with one matrix without and with units,PASSED
csw.params.core.generics.KeyParameterTest,test doubleMatrixKey work with varargs,PASSED
csw.params.core.generics.KeyParameterTest,test doubleMatrixKey work with varargs as arrays,PASSED
csw.params.core.generics.KeyParameterTest,test TimestampItem should allow create a Timestamp parameter from a timestamp key,PASSED
csw.params.core.generics.KeyParameterTest,test TimestampItem and second must be default Unit,PASSED
csw.params.core.generics.KeyParameterTest,test TimestampItem should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test TimestampItem should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,testing ChoiceItem should allow creating with Choices object,PASSED
csw.params.core.generics.KeyParameterTest,testing ChoiceItem should allow creating with varargs of Strings,PASSED
csw.params.core.generics.KeyParameterTest,testing ChoiceItem should allow creation with individual Choice items,PASSED
csw.params.core.generics.KeyParameterTest,test raDecKey should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test raDecKey should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test raDecKey should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test stringKey should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test stringKey should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test stringKey should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,testing StructItem should allow creating Struct items,PASSED
csw.params.core.generics.KeyParameterTest,test setting multiple values should allow setting a single value,PASSED
csw.params.core.generics.KeyParameterTest,test setting multiple values should allow setting several,PASSED
csw.params.core.generics.KeyParameterTest,test setting multiple values should also allow setting with sequence,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testBooleanKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testDoubleKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testCharKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testFloatKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testStructKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testIntegerKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testStringKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testTimestampKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testLongKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testShortKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testByteKeyParameter,PASSED
csw.params.core.generics.JSimpleKeyTypeTest,testRaDecKeyParameter,PASSED
csw.params.commands.CommandsTest,Setup config tests Should allow adding keys using single set,PASSED
csw.params.commands.CommandsTest,Setup config tests Should allow setting with units,PASSED
csw.params.commands.CommandsTest,Setup config tests Should allow apply which returns values,PASSED
csw.params.commands.CommandsTest,Setup config tests should update for the same key with set,PASSED
csw.params.commands.CommandsTest,Setup config tests Should able to create with Byte Parameteret,PASSED
csw.params.commands.CommandsTest,Setup config tests Should allow updates,PASSED
csw.params.commands.CommandsTest,Setup config tests Should allow to create setup without obsId,PASSED
csw.params.commands.CommandsTest,Setup config tests Should create new RunId when a parameter is added or removed,PASSED
csw.params.commands.CommandsTest,Observe config tests Should allow adding keys,PASSED
csw.params.commands.CommandsTest,Observe config tests Should allow setting,PASSED
csw.params.commands.CommandsTest,Observe config tests Should allow apply,PASSED
csw.params.commands.CommandsTest,Observe config tests should update for the same key with set,PASSED
csw.params.commands.CommandsTest,Observe config tests should update for the same key with add,PASSED
csw.params.commands.CommandsTest,Observe config tests Should create new RunId when a parameter is added or removed,PASSED
csw.params.commands.CommandsTest,Wait config tests Should allow adding keys,PASSED
csw.params.commands.CommandsTest,Wait config tests Should allow setting,PASSED
csw.params.commands.CommandsTest,Wait config tests Should allow apply,PASSED
csw.params.commands.CommandsTest,Wait config tests should update for the same key with set,PASSED
csw.params.commands.CommandsTest,Wait config tests should update for the same key with add,PASSED
csw.params.commands.CommandsTest,Wait config tests Should create new RunId when a parameter is added or removed,PASSED
csw.params.commands.CommandsTest,Checking for item types in configs Should get as IntItem,PASSED
csw.params.commands.CommandsTest,Check for multi-add Should allow vararg add,PASSED
csw.params.commands.CommandsTest,Should work with remove Setup command should allow removing one at a time,PASSED
csw.params.commands.CommandsTest,Should work with remove Observe command should allow removing one at a time,PASSED
csw.params.commands.CommandsTest,Should work with remove Wait command should allow removing one at a time,PASSED
csw.params.commands.CommandsTest,should work with remove by item Should allow removing one at a time,PASSED
csw.params.commands.CommandsTest,clone command test clone command creates a command from existing command with a new RunId for Setup, Observe or Wait,PASSED
csw.params.core.EqualityTest,Array-based long array equality should short circuit with identical same arrays,PASSED
csw.params.core.EqualityTest,Array-based long array equality should be equal with identical different arrays,PASSED
csw.params.core.EqualityTest,Array-based long array equality should fail with different valued arrays,PASSED
csw.params.core.EqualityTest,Array-based long array equality should work with items too when equal,PASSED
csw.params.core.EqualityTest,Array-based long array equality should fail with items when values not equal,PASSED
csw.params.core.EqualityTest,Array-based long matrix equality should short circuit with identical same matrices,PASSED
csw.params.core.EqualityTest,Array-based long matrix equality should be equal with identical different matrices,PASSED
csw.params.core.EqualityTest,Array-based long matrix equality should fail with different valued matrices,PASSED
csw.params.core.EqualityTest,Array-based long matrix equality should fail for totally different matrices,PASSED
csw.params.core.EqualityTest,Array-based byte array equality should short circuit with identical same arrays,PASSED
csw.params.core.EqualityTest,Array-based byte array equality should be equal with identical different arrays,PASSED
csw.params.core.EqualityTest,Array-based byte array equality should fail with different valued arrays,PASSED
csw.params.core.EqualityTest,Array-based byte array equality should work with items too when equal,PASSED
csw.params.core.EqualityTest,Array-based byte array equality should fail with items when values not equal,PASSED
csw.params.core.EqualityTest,Array-based byte matrix equality should short circuit with identical same matrices,PASSED
csw.params.core.EqualityTest,Array-based byte matrix equality should be equal with identical different matrices,PASSED
csw.params.core.EqualityTest,Array-based byte matrix equality should fail with different valued matrices,PASSED
csw.params.core.EqualityTest,Array-based byte matrix equality should fail for totally different matrices,PASSED
csw.params.core.EqualityTest,Array-based double array equality should short circuit with identical same arrays,PASSED
csw.params.core.EqualityTest,Array-based double array equality should be equal with identical different arrays,PASSED
csw.params.core.EqualityTest,Array-based double array equality should fail with different valued arrays,PASSED
csw.params.core.EqualityTest,Array-based double array equality should work with items too when equal,PASSED
csw.params.core.EqualityTest,Array-based double array equality should fail with items when values not equal,PASSED
csw.params.core.EqualityTest,Array-based double matrix equality should short circuit with identical same matrices,PASSED
csw.params.core.EqualityTest,Array-based double matrix equality should be equal with identical different matrices,PASSED
csw.params.core.EqualityTest,Array-based double matrix equality should fail with different valued matrices,PASSED
csw.params.core.EqualityTest,Array-based double matrix equality should fail for totally different matrices,PASSED
csw.params.core.EqualityTest,Array-based float array equality should short circuit with identical same arrays,PASSED
csw.params.core.EqualityTest,Array-based float array equality should be equal with identical different arrays,PASSED
csw.params.core.EqualityTest,Array-based float array equality should fail with different valued arrays,PASSED
csw.params.core.EqualityTest,Array-based float array equality should work with items too when equal,PASSED
csw.params.core.EqualityTest,Array-based float array equality should fail with items when values not equal,PASSED
csw.params.core.EqualityTest,Array-based float matrix equality should short circuit with identical same matrices,PASSED
csw.params.core.EqualityTest,Array-based float matrix equality should be equal with identical different matrices,PASSED
csw.params.core.EqualityTest,Array-based float matrix equality should fail with different valued matrices,PASSED
csw.params.core.EqualityTest,Array-based float matrix equality should fail for totally different matrices,PASSED
csw.params.core.EqualityTest,Array-based int array equality should short circuit with identical same arrays,PASSED
csw.params.core.EqualityTest,Array-based int array equality should be equal with identical different arrays,PASSED
csw.params.core.EqualityTest,Array-based int array equality should fail with different valued arrays,PASSED
csw.params.core.EqualityTest,Array-based int array equality should work with items too when equal,PASSED
csw.params.core.EqualityTest,Array-based int array equality should fail with items when values not equal,PASSED
csw.params.core.EqualityTest,Array-based int matrix equality should short circuit with identical same matrices,PASSED
csw.params.core.EqualityTest,Array-based int matrix equality should be equal with identical different matrices,PASSED
csw.params.core.EqualityTest,Array-based int matrix equality should fail with different valued matrices,PASSED
csw.params.core.EqualityTest,Array-based int matrix equality should fail for totally different matrices,PASSED
csw.params.core.EqualityTest,Array-based short array equality should short circuit with identical same arrays,PASSED
csw.params.core.EqualityTest,Array-based short array equality should be equal with identical different arrays,PASSED
csw.params.core.EqualityTest,Array-based short array equality should fail with different valued arrays,PASSED
csw.params.core.EqualityTest,Array-based short array equality should work with items too when equal,PASSED
csw.params.core.EqualityTest,Array-based short array equality should fail with items when values not equal,PASSED
csw.params.core.EqualityTest,Array-based short matrix equality should short circuit with identical same matrices,PASSED
csw.params.core.EqualityTest,Array-based short matrix equality should be equal with identical different matrices,PASSED
csw.params.core.EqualityTest,Array-based short matrix equality should fail with different valued matrices,PASSED
csw.params.core.EqualityTest,Array-based short matrix equality should fail for totally different matrices,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test Commands Setup command is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test Commands Observe command is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test Commands Wait command is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test Result is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test Struct is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test StateVariables DemandState is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test StateVariables CurrentState is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test Events ObserveEvent command is able to remove duplicate keys,PASSED
csw.params.core.generics.UniqueKeyVerificationTest,Test Events SystemEvent command is able to remove duplicate keys,PASSED
csw.params.core.generics.SerializationTest,ConfigType kryo serialization,PASSED
csw.params.core.generics.SerializationTest,System event kryo serialization,PASSED
csw.params.core.generics.SerializationTest,CurrentStates kryo serialization,PASSED
csw.command.client.JCommandResponseManagerTest,shouldDelegateToJQueryFinal,PASSED
csw.command.client.JCommandResponseManagerTest,shouldDelegateToJQuery,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to add command entry in Command Response Manager,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to add correlation between parent and child via AddSubCommand,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to add subscriber and publish current state to newly added subscriber,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should not get update for long running command that returns Started,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should not be able to set value to Intermediate after Final in Command Response Manager,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to remove subscriber,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to get current status of command on Query message,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to update and publish command status to all subscribers,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to infer command status when status of sub command is updated,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to update command status with the status of subcommand if one of the subcommand fails,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able to update successful command status when all the subcommand completes with success,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,CRM queryFinal actually works,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,CRM should support three level tree including sequenceId as top level,PASSED
csw.command.client.internal.CommandResponseManagerBehaviorTest,should be able subscribe before submitting command and gets added to CRM,PASSED
csw.params.core.InterOperabilityTest,should able to send commands/events from scala code to java and vice a versa,PASSED
csw.command.client.CommandResponseManagerTest,should delegate to addOrUpdateCommand,PASSED
csw.command.client.CommandResponseManagerTest,should delegate to addSubCommand,PASSED
csw.command.client.CommandResponseManagerTest,should delegate to updateSubCommand,PASSED
csw.command.client.CommandResponseManagerTest,should delegate to query,PASSED
csw.command.client.CommandResponseManagerTest,queryFinal should delegate to Subscribe,PASSED
csw.params.AkkaKryoSerializationTest,Test akka serialization of Commands should serialize Setup,PASSED
csw.params.AkkaKryoSerializationTest,Test akka serialization of Commands should serialize Wait,PASSED
csw.params.AkkaKryoSerializationTest,Test akka serialization of Events should serialize ObserveEvent,PASSED
csw.params.AkkaKryoSerializationTest,Test akka serialization of Events should serialize SystemEvent,PASSED
csw.params.AkkaKryoSerializationTest,Test akka serialization of StateVariables should serialize CurrentState,PASSED
csw.params.AkkaKryoSerializationTest,Test akka serialization of StateVariables should serialize DemandState,PASSED
csw.params.AkkaKryoSerializationTest,csw messages should serialize ToComponentLifecycle messages,PASSED
csw.params.AkkaKryoSerializationTest,csw messages should serialize Lifecycle messages,PASSED
csw.params.AkkaKryoSerializationTest,csw messages should serialize Common messages for all components,PASSED
csw.params.AkkaKryoSerializationTest,csw messages should serialize Common messages for supervisor,PASSED
csw.params.AkkaKryoSerializationTest,csw messages should serialize Common messages for container,PASSED
csw.params.AkkaKryoSerializationTest,csw messages should serialize CommandValidationResponse messages,PASSED
csw.params.AkkaKryoSerializationTest,csw messages should serialize CommandExecutionResponse messages,PASSED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
csw.framework.deploy.hostconfig.cli.ArgsParserTest,should able to parse when all arguments are provided,PASSED
csw.framework.deploy.hostconfig.cli.ArgsParserTest,should able to parse arguments with default value of false when local option is not provided,PASSED
csw.framework.deploy.hostconfig.cli.ArgsParserTest,should not parse if inputFilePath is not provided,PASSED
csw.framework.deploy.hostconfig.cli.ArgsParserTest,should not parse if no arguments provided,PASSED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
csw.framework.internal.configparser.ConfigParserTest,should able to parse container config,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'name' is missing,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'components' is missing,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'components' is not a config object,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to parse standalone assembly config,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'behaviorFactoryClassName' is missing for assembly,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'prefix' is missing for assembly,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'locationServiceUsage' is missing for assembly,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'connections' is not an array for assembly,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when connection ingredients has typos for 'connections' in assembly,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'componentType' is missing for assembly,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'behaviorFactoryClassName' is missing for hcd,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'prefix' is missing for hcd,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'locationServiceUsage' is missing for hcd,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'componentType' is missing for hcd,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when 'name' is missing for standalone mode,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to parse host config,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when provided mode is invalid in host config,PASSED
csw.framework.internal.configparser.ConfigParserTest,should able to throw error when provided location is invalid in host config,PASSED
csw.framework.deploy.containercmd.cli.ArgsParserTest,should parse arguments when all arguments are provided,PASSED
csw.framework.deploy.containercmd.cli.ArgsParserTest,should parse arguments with default value of false when standalone option is not provided,PASSED
csw.framework.deploy.containercmd.cli.ArgsParserTest,should parse arguments with default value of false when local option is not provided,PASSED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
org.scalatest.DeferredAbortedSuite,NONE,ABORTED
csw.event.client.pb.JPbParameterTest,booleanParam,PASSED
csw.event.client.pb.JPbParameterTest,stringArrayParam,PASSED
csw.event.client.pb.JPbParameterTest,event,PASSED
csw.event.client.pb.ProtobufSerializationTest,Test protobuf serialization of Events should serialize ObserveEvent,PASSED
csw.event.client.pb.ProtobufSerializationTest,Test protobuf serialization of Events should serialize SystemEvent,PASSED
csw.event.client.EventPublisherTest,should_be_able_to_maintain_ordering_while_publish(Redis),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_maintain_ordering_while_publish(Kafka),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_an_event_with_block_genrating_future_of_event(Redis),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_an_event_with_block_genrating_future_of_event(Kafka),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_an_event_with_duration(Redis),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_an_event_with_duration(Kafka),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_and_subscribe_an_event(Redis),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_and_subscribe_an_event(Kafka),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_concurrently_to_the_different_channel(Redis),PASSED
csw.event.client.EventPublisherTest,should_be_able_to_publish_concurrently_to_the_different_channel(Kafka),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_an_event_with_duration_with_rate_adapter_for_fast_publisher(Redis),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_an_event_with_duration_with_rate_adapter_for_fast_publisher(Kafka),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_with_duration_with_rate_adapter_mode_for_slow_publisher(Redis),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_with_duration_with_rate_adapter_mode_for_slow_publisher(Kafka),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_with_duration_with_rate_limiter_mode_for_fast_publisher(Redis),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_with_duration_with_rate_limiter_mode_for_fast_publisher(Kafka),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_with_duration_with_rate_limiter_mode_for_slow_publisher(Redis),PASSED
csw.event.client.EventSubscriptionFrequencyTest,should_be_able_to_subscribe_with_duration_with_rate_limiter_mode_for_slow_publisher(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_get_InvalidEvent(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_get_InvalidEvent(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_get_an_event_without_subscribing_for_it(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_get_an_event_without_subscribing_for_it(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_get_events_for_multiple_event_keys(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_get_events_for_multiple_event_keys(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_make_independent_subscriptions(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_make_independent_subscriptions(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_retrieve_InvalidEvent(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_retrieve_InvalidEvent(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_retrieve_recently_published_event_on_subscription(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_retrieve_recently_published_event_on_subscription(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_retrieve_valid_as_well_as_invalid_event_when_events_are_published_for_some_and_not_for_other_keys(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_retrieve_valid_as_well_as_invalid_event_when_events_are_published_for_some_and_not_for_other_keys(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_subscribe_an_event(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_subscribe_an_event(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_subscribe_an_event_with_pattern_from_different_subsystem(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_subscribe_an_event_with_pattern_from_same_subsystem(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_subscribe_with_an_ActorRef(Redis),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_subscribe_with_an_ActorRef(Kafka),PASSED
csw.event.client.JEventSubscriberTest,should_be_able_to_subscribe_with_an_ActorRef_with_duration(Redis),PASSED
